,Title,Address,City,State,PostalCode,Units,Open Date,Phase,Latitude,Longitude,Market,Submarket
0,Unnamed Hotel @ Riverfront on the Anacostia,100 Potomac Ave,Washington,DC,20003,325,8/21/2022,Final Planning,38.8696902,-77.0109269,Washington,Washington DC CBD 
1,Unnamed Hotel @ The Spire,500 Avenue of the Arts,Dallas,TX,75201,500,,Planning,32.7876099,-96.7935937,Dallas,Dallas CBD/Market Center 
2,Atlantic 3350,3350 E Atlantic Blvd,Pompano Beach,FL,33062-5717,110,,Planning,26.2316887,-80.0912013,Fort Lauderdale,Coral Springs/Pompano Beach 
3,Home2 Suites by Hilton Dulles Airport,22045 Dulles Plz,Dulles,VA,20166,124,9/2/2026,Planning,38.9770534,-77.4253335,Washington,Dulles Airport Area 
4,RIVAL,140 Allen St,New York,NY,10002-3005,98,6/15/2021,In Construction,40.7201108,-73.9895328,New York,Village/Soho/Tribeca 
5,Woodspring Suites Horsham,1020 Easton Rd,Horsham,PA,19044,122,4/30/2024,Planning,40.197567,-75.138003,Philadelphia,Philadelphia North Suburbs 
6,Unknown Name,2 Petaluma Blvd N,Petaluma,CA,94952-3002,65,3/26/2023,Final Planning,38.233092,-122.638937,California North,Santa Rosa/Sonoma 
7,Courtyard Meridian,607 22nd Ave,Meridian,MS,39301-5022,131,8/18/2021,Deferred,32.3646296,-88.7008314,Mississippi,Meridian/East Central Area 
8,Comfort Inn & Suites Richmond Airport East,580 Trampton Rd,Sandston,VA,23150,75,12/29/2021,In Construction,37.5255112,-77.3253677,Richmond/Petersburg,Richmond CBD/Airport 
9,Hotel @ Napa Pipe,1025 Kaiser Rd,Napa,CA,94558,150,,Planning,38.2537581,-122.2819264,California North,Napa Valley 
10,Flagstone Island Gardens Resort,950 MacArthur Cswy,Miami,FL,33132,792,,Planning,25.7861654,-80.1778253,Miami,Miami CBD/North 
11,Hampton Inn Edenton,115 Hampton Dr,Edenton,NC,27932-8815,18,,In Construction,36.0785309,-76.6165078,North Carolina East,Coastal Carolina NC 
12,Country Inn & Suites Cumming,915 Buford Rd,Cumming,GA,30041-2717,77,7/31/2021,In Construction,34.1782721,-84.1325304,Atlanta,Alpharetta/North 
13,Cambria Hotels South Windsor-Manchester,1000 Long Leaf Ln,South Windsor,CT,6074,110,9/1/2021,In Construction,41.8106581,-72.5615463,Hartford,Hartford North/Windsor Locks 
14,Homewood Suites by Hilton Pittsburgh/Cranberry,10015 Pendleton Way,Cranberry Township,PA,16066-6900,107,,Deferred,40.6814373,-80.0800864,Pittsburgh,Pittsburgh North Area 
15,MainStay Suites Splendora,13833 Highway 59,Splendora,TX,77372,38,12/31/2022,Planning,30.2440853,-95.1559157,Houston,Houston North/Woodlands 
